date,Fighting Game,First-Person Shooter,Multiplayer Online Battle Arena,Sports,Strategy,Others
01/01/2009,17.0,12.0,0.0,0.0,10.0,1.0
01/02/2009,16.0,21.0,0.0,3.0,6.0,1.0
01/03/2009,24.0,13.0,1.0,0.0,9.0,5.0
01/04/2009,27.0,29.0,1.0,2.0,12.0,3.0
01/05/2009,16.0,15.0,2.0,1.0,17.0,0.0
01/06/2009,16.0,15.0,1.0,2.0,17.0,6.0
01/07/2009,19.0,19.0,1.0,0.0,14.0,2.0
01/08/2009,21.0,33.0,3.0,7.0,25.0,5.0
01/09/2009,28.0,16.0,2.0,2.0,6.0,0.0
01/10/2009,5.0,22.0,1.0,1.0,8.0,0.0
01/11/2009,10.0,29.0,2.0,2.0,13.0,9.0
01/12/2009,5.0,16.0,1.0,1.0,7.0,1.0
01/01/2010,7.0,20.0,0.0,0.0,10.0,4.0
01/02/2010,12.0,30.0,2.0,7.0,9.0,2.0
01/03/2010,18.0,20.0,0.0,4.0,12.0,2.0
01/04/2010,7.0,31.0,2.0,5.0,21.0,2.0
01/05/2010,4.0,25.0,0.0,7.0,32.0,2.0
01/06/2010,14.0,26.0,1.0,7.0,14.0,4.0
01/07/2010,15.0,27.0,4.0,8.0,17.0,3.0
01/08/2010,11.0,42.0,3.0,7.0,40.0,4.0
01/09/2010,8.0,15.0,7.0,4.0,47.0,1.0
01/10/2010,9.0,31.0,8.0,8.0,70.0,8.0
01/11/2010,11.0,34.0,11.0,6.0,64.0,5.0
01/12/2010,9.0,20.0,10.0,6.0,53.0,3.0
01/01/2011,27.0,20.0,8.0,5.0,75.0,1.0
01/02/2011,8.0,27.0,5.0,4.0,75.0,3.0
01/03/2011,5.0,19.0,18.0,4.0,69.0,3.0
01/04/2011,1.0,30.0,15.0,7.0,63.0,5.0
01/05/2011,16.0,23.0,15.0,6.0,81.0,2.0
01/06/2011,32.0,20.0,17.0,8.0,72.0,2.0
01/07/2011,19.0,31.0,19.0,6.0,78.0,1.0
01/08/2011,15.0,18.0,21.0,5.0,67.0,2.0
01/09/2011,7.0,13.0,19.0,6.0,80.0,1.0
01/10/2011,6.0,27.0,29.0,7.0,92.0,5.0
01/11/2011,16.0,20.0,26.0,13.0,74.0,5.0
01/12/2011,5.0,20.0,29.0,6.0,77.0,3.0
01/01/2012,15.0,19.0,27.0,7.0,62.0,5.0
01/02/2012,3.0,24.0,23.0,6.0,73.0,6.0
01/03/2012,14.0,21.0,44.0,5.0,77.0,5.0
01/04/2012,11.0,36.0,49.0,8.0,77.0,10.0
01/05/2012,12.0,24.0,46.0,6.0,79.0,5.0
01/06/2012,22.0,21.0,55.0,6.0,78.0,3.0
01/07/2012,33.0,31.0,68.0,6.0,88.0,5.0
01/08/2012,22.0,24.0,50.0,4.0,56.0,1.0
01/09/2012,9.0,25.0,61.0,6.0,58.0,2.0
01/10/2012,18.0,28.0,39.0,4.0,51.0,2.0
01/11/2012,18.0,27.0,47.0,7.0,50.0,5.0
01/12/2012,15.0,31.0,56.0,6.0,49.0,1.0
01/01/2013,23.0,20.0,39.0,4.0,31.0,0.0
01/02/2013,32.0,34.0,56.0,8.0,45.0,1.0
01/03/2013,23.0,37.0,57.0,6.0,51.0,5.0
01/04/2013,33.0,38.0,39.0,4.0,38.0,2.0
01/05/2013,64.0,30.0,33.0,6.0,44.0,3.0
01/06/2013,51.0,39.0,46.0,6.0,71.0,5.0
01/07/2013,63.0,36.0,51.0,4.0,58.0,3.0
01/08/2013,58.0,39.0,52.0,5.0,59.0,0.0
01/09/2013,52.0,37.0,49.0,5.0,51.0,0.0
01/10/2013,56.0,39.0,44.0,5.0,57.0,6.0
01/11/2013,62.0,38.0,62.0,6.0,56.0,5.0
01/12/2013,53.0,35.0,66.0,6.0,53.0,1.0
01/01/2014,52.0,40.0,46.0,7.0,43.0,4.0
