Date,Tournaments,Earnings
04/2016,401,5418505.5
05/2016,437,5137998.88
06/2016,351,7242705.13
07/2016,380,7149656.04
08/2016,379,24439080.07
09/2016,345,4898857.41
10/2016,470,10720539.89
11/2016,460,7646338.88
12/2016,370,11231034.06
01/2017,370,8951412.52
02/2017,371,2757998.47
03/2017,371,3823014.36
04/2017,514,9496017.52
05/2017,404,8769291.45
06/2017,342,6623278.87
07/2017,404,7046546.35
08/2017,434,31252554.56
09/2017,402,4757734.86
10/2017,416,9191765.93
11/2017,411,13596492.28
12/2017,411,10235245.04
01/2018,306,6294830.5
02/2018,278,4820654.5
03/2018,350,10516722.04
04/2018,392,11608973.98
05/2018,398,10774572.13
06/2018,351,9850802.19
07/2018,361,13473632.13
08/2018,347,38183377.99
09/2018,407,12287208.97
10/2018,413,15573725.11
11/2018,452,17522245.9
12/2018,610,14392460.88
01/2019,400,6352569.94
02/2019,342,5908505.57
03/2019,524,11572048.43
04/2019,472,13893133.57
05/2019,516,13193179.83
06/2019,554,17053955.62
07/2019,546,49350751.3
08/2019,503,48394489.9
09/2019,506,20825596.17
10/2019,396,8728152.25
11/2019,371,17902972.84
12/2019,315,22485539.3
01/2020,272,3883418.3
02/2020,271,7982613.0
03/2020,349,7451209.23
04/2020,367,8118897.43
05/2020,408,9459097.82
06/2020,452,8585401.7
07/2020,334,6551467.79
08/2020,402,18654594.27
09/2020,364,8815134.99
10/2020,334,13602164.79
11/2020,341,11258805.21
12/2020,326,11549728.82
01/2021,199,6030645.41
02/2021,176,4075896.39
03/2021,224,13010918.07
