Game,year,Earnings,Rank,LastEarn,lastEarnings
PLAYERUNKNOWN’S BATTLEGROUNDS,2021,7128071.00,1,15858067.63,15858067.63
Counter-Strike: Global Offensive,2021,3614618.23,2,4200057.72,4200057.72
Fortnite,2021,2556366.68,3,3473756.9,3473756.9
Dota 2,2021,2010153.56,4,3709088.73,3709088.73
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2021,1207137.00,5,1211869.54,1211869.54
Rocket League,2021,935509.44,6,1000000,1000000
Call of Duty: Warzone,2021,715591.89,7,882436.68,882436.68
SMITE,2021,610000.00,8,2372583.73,2372583.73
VALORANT,2021,579668.04,9,1203054.52,1203054.52
Arena of Valor,2021,530400.00,10,810839.41,810839.41
chess24,2021,520000.00,11,642578.64,642578.64
Call of Duty: Black Ops Cold War,2021,505000.00,12,514706.42,514706.42
Counter-Strike: Global Offensive,2020,15858067.63,1,16608030.59,16608030.59
Arena of Valor,2020,9500997.45,2,17266132.5,17266132.5
Dota 2,2020,9323852.73,3,10529059.95,10529059.95
Fortnite,2020,8308641.39,4,11327221.08,11327221.08
League of Legends,2020,8163209.84,5,8319226.32,8319226.32
Call of Duty: Modern Warfare,2020,6328172.00,6,6615791.65,6615791.65
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2020,6187727.95,7,7821265.46,7821265.46
PLAYERUNKNOWN’S BATTLEGROUNDS,2020,5071127.92,8,5190956.76,5190956.76
Overwatch,2020,5058996.00,9,0,0
Rainbow Six Siege,2020,5015764.30,10,0,0
Hearthstone,2020,4392026.82,11,4402000,4402000
Rocket League,2020,3895284.59,12,100,100
Fortnite,2019,71598129.01,1,43500,43500
Dota 2,2019,47043520.56,2,20000,20000
Counter-Strike: Global Offensive,2019,21988689.64,3,2000,2000
PLAYERUNKNOWN’S BATTLEGROUNDS,2019,11327221.08,4,14573298.84,14573298.84
Overwatch,2019,9587036.77,5,9500,9500
League of Legends,2019,9542083.01,6,0,0
Arena of Valor,2019,7821265.46,7,0,0
Call of Duty: Black Ops 4,2019,6383189.00,8,0,0
Rainbow Six Siege,2019,5018249.86,9,5058996,5058996
Hearthstone,2019,4772553.17,10,5015764.3,5015764.3
Magic: The Gathering Arena,2019,4402000.00,11,0,0
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2019,3181637.99,12,3895284.59,3895284.59
Dota 2,2018,41457368.99,1,71598129.01,71598129.01
Counter-Strike: Global Offensive,2018,23306930.49,2,47043520.56,47043520.56
Fortnite,2018,19880337.00,3,NAN,NAN
League of Legends,2018,14573298.84,4,23763.33,23763.33
PLAYERUNKNOWN’S BATTLEGROUNDS,2018,8319226.32,5,9587036.77,9587036.77
Overwatch,2018,6615791.65,6,9542083.01,9542083.01
Heroes of the Storm,2018,5277279.76,7,6187727.95,6187727.95
Arena of Valor,2018,5190956.76,8,6383189,6383189
Hearthstone,2018,4717852.27,9,5018249.86,5018249.86
Call of Duty: World War II,2018,4287916.69,10,4772553.17,4772553.17
StarCraft II,2018,4025580.65,11,4392026.82,4392026.82
Rocket League,2018,2375809.26,12,3181637.99,3181637.99
Dota 2,2017,38074599.32,1,41457368.99,41457368.99
Counter-Strike: Global Offensive,2017,19270081.81,2,23306930.49,23306930.49
League of Legends,2017,12232819.22,3,19880337,19880337
Heroes of the Storm,2017,5444449.54,4,8308641.39,8308641.39
Call of Duty: Infinite Warfare,2017,4031184.07,5,8163209.84,8163209.84
Overwatch,2017,3488230.10,6,6328172,6328172
Hearthstone,2017,3476623.09,7,5277279.76,5277279.76
StarCraft II,2017,3413355.85,8,5071127.92,5071127.92
Halo 5: Guardians,2017,1748000.00,9,1996942.76,1996942.76
SMITE,2017,1567900.00,10,1638242.04,1638242.04
CrossFire,2017,1519054.74,11,4025580.65,4025580.65
Rocket League,2017,1511301.01,12,2375809.26,2375809.26
Dota 2,2016,37464419.92,1,38074599.32,38074599.32
Counter-Strike: Global Offensive,2016,17266132.50,2,19270081.81,19270081.81
League of Legends,2016,10529059.95,3,12232819.22,12232819.22
Heroes of the Storm,2016,4663149.10,4,5444449.54,5444449.54
Call of Duty: Black Ops III,2016,3862185.84,5,4031184.07,4031184.07
Hearthstone,2016,3455125.46,6,3488230.1,3488230.1
Halo 5: Guardians,2016,3411240.03,7,3476623.09,3476623.09
StarCraft II,2016,3182918.35,8,3413355.85,3413355.85
Overwatch,2016,1996942.76,9,4717852.27,4717852.27
SMITE,2016,1638242.04,10,4287916.69,4287916.69
CrossFire,2016,887159.96,11,1519054.74,1519054.74
Street Fighter V,2016,869956.88,12,NAN,0
Dota 2,2015,31050786.86,1,37464419.92,37464419.92
League of Legends,2015,7717807.16,2,8057290.99,8057290.99
Counter-Strike: Global Offensive,2015,6284970.14,3,9323852.73,9323852.73
SMITE,2015,3709088.73,4,4663149.1,4663149.1
StarCraft II,2015,3017759.24,5,3862185.84,3862185.84
Call of Duty: Advanced Warfare,2015,2481861.12,6,3455125.46,3455125.46
Heroes of the Storm,2015,2470686.83,7,3411240.03,3411240.03
Hearthstone,2015,2372583.73,8,3182918.35,3182918.35
World of Tanks,2015,1203054.52,9,1748000,1748000
Heroes of Newerth,2015,810839.41,10,1567900,1567900
Ultra Street Fighter IV,2015,642578.64,11,887159.96,887159.96
Super Smash Bros. Melee,2015,514706.42,12,869956.88,869956.88
Dota 2,2014,16608030.59,1,31050786.86,31050786.86
League of Legends,2014,8057290.99,2,9500997.45,9500997.45
StarCraft II,2014,3473756.90,3,3847464.26,3847464.26
Counter-Strike: Global Offensive,2014,1962515.01,4,2010153.56,2010153.56
Call of Duty: Ghosts,2014,1525435.95,5,3017759.24,3017759.24
Hearthstone,2014,1123245.18,6,2481861.12,2481861.12
World of Tanks,2014,882436.68,7,2470686.83,2470686.83
CrossFire,2014,506348.43,8,610000,610000
SMITE,2014,497909.60,9,579668.04,579668.04
Heroes of Newerth,2014,486110.24,10,530400,530400
World of WarCraft,2014,250000.00,11,329000,329000
WarCraft III,2014,215181.80,12,270618.52,270618.52
League of Legends,2013,6226159.63,1,7128071,7128071
Dota 2,2013,4543141.76,2,7717807.16,7717807.16
StarCraft II,2013,3847464.26,3,6284970.14,6284970.14
Call of Duty: Black Ops 2,2013,1432141.30,4,1962515.01,1962515.01
Counter-Strike: Global Offensive,2013,1211869.54,5,1525435.95,1525435.95
Turbo Racing League,2013,1000000.00,6,NAN,0
Heroes of Newerth,2013,649870.10,7,715591.89,715591.89
FIFA ,2013,441304.55,8,506348.43,506348.43
Madden NFL 2013,2013,400000.00,9,497909.6,497909.6
Halo 4,2013,371798.76,10,486110.24,486110.24
World of Tanks,2013,329000.00,11,520000,520000
CrossFire,2013,270618.52,12,505000,505000
League of Legends,2012,4287209.14,1,6226159.63,6226159.63
StarCraft II,2012,4200057.72,2,4543141.76,4543141.76
Dota 2,2012,2087094.85,3,2556366.68,2556366.68
Counter-Strike,2012,547584.85,4,628499.64,628499.64
Heroes of Newerth,2012,341962.28,5,362767.85,362767.85
Counter-Strike: Global Offensive,2012,222538.77,6,NAN,0
Counter-Strike: Source,2012,214637.92,7,224986.85,224986.85
World of WarCraft,2012,208500.00,8,213500,213500
Defense of the Ancients,2012,205438.37,9,207000,207000
Call of Duty: Modern Warfare 3,2012,154800.32,10,167627.52,167627.52
World of Tanks,2012,123502.27,11,158149.18,158149.18
Super Street Fighter IV Arcade Edition,2012,107590.66,12,118000,118000
StarCraft II,2011,3179864.09,1,4263198.8,4263198.8
Dota 2,2011,1672268.08,2,NAN,0
Call of Duty: Modern Warfare 3,2011,1006015.34,3,NAN,0
Counter-Strike,2011,879914.71,4,1035159.9,1035159.9
Halo: Reach,2011,593521.98,5,673462.47,673462.47
League of Legends,2011,526574.51,6,935509.44,935509.44
StarCraft: Brood War,2011,423063.87,7,649870.1,649870.1
Call of Duty: Black Ops,2011,376553.48,8,NAN,0
Counter-Strike: Source,2011,261943.40,9,400000,400000
Defense of the Ancients,2011,244082.84,10,371798.76,371798.76
World of WarCraft,2011,165000.00,11,170900.77,170900.77
Heroes of Newerth,2011,153840.35,12,215181.8,215181.8
Counter-Strike,2010,1449656.69,1,1631004.94,1631004.94
StarCraft II,2010,820839.29,2,NAN,0
Halo 3,2010,798113.79,3,840896.6,840896.6
StarCraft: Brood War,2010,628499.64,4,688924.67,688924.67
WarCraft III,2010,362767.85,5,593521.98,593521.98
Counter-Strike: Source,2010,351448.47,6,355421.06,355421.06
World of WarCraft,2010,291250.00,7,423063.87,423063.87
Quake Live,2010,177411.41,8,200000,200000
Defense of the Ancients,2010,158306.30,9,171539.98,171539.98
FIFA ,2010,117026.71,10,154800.32,154800.32
Halo: Reach,2010,114000.00,11,NAN,0
Magic: The Gathering Online,2010,100000.00,12,107590.66,107590.66
Counter-Strike,2009,1353400.64,1,1353441.43,1353441.43
StarCraft: Brood War,2009,708775.32,2,820839.29,820839.29
WarCraft III,2009,387351.00,3,592759.49,592759.49
World of WarCraft,2009,350138.91,4,438648.01,438648.01
Counter-Strike: Source,2009,247039.65,5,341962.28,341962.28
Halo 3,2009,234900.71,6,254986.85,254986.85
Defense of the Ancients,2009,124530.20,7,214637.92,214637.92
FIFA ,2009,118886.69,8,177411.41,177411.41
Call of Duty 4: Modern Warfare,2009,109724.84,9,158306.3,158306.3
Quake Live,2009,79946.08,10,117026.71,117026.71
Gears of War,2009,60000.00,11,114000,114000
Super Smash Bros. Melee,2009,51999.99,12,100000,100000
Magic: The Gathering Online,2009,50000.00,13,100000,100000
Counter-Strike,2008,1681708.06,1,3179864.09,3179864.09
StarCraft: Brood War,2008,1050526.45,2,1618060.48,1618060.48
Counter-Strike: Source,2008,871999.50,3,1006015.34,1006015.34
Halo 3,2008,688924.67,4,810507.08,810507.08
WarCraft III,2008,681496.09,5,716678,716678
World of WarCraft,2008,450500.00,6,526574.51,526574.51
World in Conflict,2008,228110.73,7,232068,232068
Call of Duty 4: Modern Warfare,2008,218907.09,8,376553.48,376553.48
Forza Motorsport,2008,207000.00,9,210512.23,210512.23
FIFA ,2008,201433.25,10,244082.84,244082.84
Dead or Alive 4,2008,189708.46,11,250000,250000
F.E.A.R.,2008,118000.00,12,144600,144600
Counter-Strike,2007,1631004.94,1,1681708.06,1681708.06
StarCraft: Brood War,2007,1049963.19,2,1050526.45,1050526.45
Counter-Strike: Source,2007,840896.60,3,871999.5,871999.5
WarCraft III,2007,810507.08,4,879914.71,879914.71
Halo 2,2007,673462.47,5,681496.09,681496.09
Dead or Alive 4,2007,254986.85,6,351448.47,351448.47
Project Gotham Racing 3,2007,224986.85,7,228110.73,228110.73
World of WarCraft,2007,213500.00,8,NAN,0
FIFA ,2007,210512.23,9,261943.4,261943.4
Rainbow Six: Vegas,2007,176400.77,10,201433.25,201433.25
Gears of War,2007,170900.77,11,NAN,0
Quake 4,2007,146558.81,12,153840.35,153840.35
Counter-Strike,2006,4263198.80,1,4287209.14,4287209.14
StarCraft: Brood War,2006,1618060.48,2,1672268.08,1672268.08
Halo 2,2006,1236100.00,3,2087094.85,2087094.85
WarCraft III,2006,1035159.90,4,1432141.3,1432141.3
Quake 4,2006,716678.00,5,1207137,1207137
Counter-Strike: Source,2006,355421.06,6,450500,450500
Super Smash Bros. Melee,2006,232068.00,7,291250,291250
Madden NFL 2006,2006,200000.00,8,208500,208500
FIFA ,2006,171539.98,9,205438.37,205438.37
Quake III Arena,2006,167627.52,10,176400.77,176400.77
Battlefield 2,2006,158149.18,11,165000,165000
Project Gotham Racing 3,2006,144600.00,12,146558.81,146558.81
Counter-Strike,2005,1353441.43,1,1449656.69,1449656.69
Painkiller,2005,960000.00,2,1049963.19,1049963.19
StarCraft: Brood War,2005,592759.49,3,798113.79,798113.79
WarCraft III,2005,438648.01,4,547584.85,547584.85
Halo 2,2005,197850.00,5,NAN,0
Counter-Strike: Source,2005,150546.22,6,NAN,0
FIFA ,2005,57728.01,7,111500,111500
Quake III Arena,2005,56673.87,8,106512.41,106512.41
Quake 4,2005,51780.70,9,NAN,0
Wolfenstein: Enemy Territory,2005,50000.00,10,NAN,0
Doom 3,2005,50000.00,11,50000,50000
Age of Empires II,2005,40816.91,12,51999.99,51999.99
Pro Evolution Soccer 4,2005,40550.64,13,50000,50000
Counter-Strike,2004,899651.67,1,1353400.64,1353400.64
StarCraft: Brood War,2004,498433.15,2,708775.32,708775.32
WarCraft III,2004,353388.90,3,387351,387351
Doom 3,2004,207748.16,4,NAN,0
Halo: Combat Evolved,2004,183456.00,5,197850,197850
Counter-Strike: Condition Zero,2004,162150.60,6,NAN,0
Quake III Arena,2004,111500.00,7,124530.2,124530.2
Unreal Tournament 2004,2004,106512.41,8,177411.41,177411.41
Painkiller,2004,55000.00,9,NAN,0
Call of Duty,2004,50000.00,10,NAN,0
Age of Empires II,2004,45565.20,11,50000,50000
FIFA ,2004,40000.00,12,40816.91,40816.91
Need for Speed: Underground,2004,35000.00,13,40550.64,40550.64
Counter-Strike,2003,819377.99,1,899651.67,899651.67
StarCraft: Brood War,2003,276838.39,2,498433.15,498433.15
WarCraft III,2003,191632.33,3,353388.9,353388.9
Unreal Tournament 2003,2003,111773.91,4,628499.64,628499.64
Halo: Combat Evolved,2003,107150.00,5,183456,183456
Quake III Arena,2003,95463.46,6,150546.22,150546.22
FIFA ,2003,54066.44,7,NAN,0
Age of Mythology,2003,49000.00,8,NAN,0
Age of Empires II,2003,27697.02,9,31285.25,31285.25
Super Smash Bros. Melee,2003,15550.00,10,50000,50000
Tekken 4,2003,12500.00,11,NAN,0
NASCAR Thunder 2003,2003,5933.50,12,40000,40000
Live for Speed,2003,2491.62,13,NAN,0
Counter-Strike,2002,400994.88,1,415237.82,415237.82
StarCraft: Brood War,2002,132944.26,2,133038.04,133038.04
Quake III Arena,2002,102206.40,3,113768.3,113768.3
Age of Empires II,2002,92866.00,4,111773.91,111773.91
Return to Castle Wolfenstein,2002,67424.30,5,NAN,0
Unreal Tournament,2002,43000.00,6,54066.44,54066.44
FIFA ,2002,43000.00,7,46000,46000
Unreal Tournament 2003,2002,34000.00,8,49000,49000
WarCraft III,2002,31285.25,9,NAN,0
Star Wars Jedi Knight II: Jedi Outcast,2002,7679.25,10,NAN,0
NASCAR Thunder 2002,2002,7679.25,11,NAN,0
Halo: Combat Evolved,2002,5000.00,12,NAN,0
Age of Empires,2002,100.00,13,2491.62,2491.62
Counter-Strike,2001,346592.44,1,400994.88,400994.88
Age of Empires II,2001,160541.29,2,276838.39,276838.39
Quake III Arena,2001,147736.74,3,191632.33,191632.33
StarCraft: Brood War,2001,91893.99,4,92866,92866
Unreal Tournament,2001,46000.00,5,NAN,0
FIFA ,2001,46000.00,6,67424.3,67424.3
Aliens versus Predator 2,2001,40000.00,7,NAN,0
QuakeWorld,2001,15000.00,8,34000,34000
Quake III Arena,2000,415237.82,1,819377.99,819377.99
StarCraft: Brood War,2000,133038.04,2,160541.29,160541.29
Age of Empires II,2000,113768.30,3,NAN,0
FIFA ,2000,50000.00,4,91893.99,91893.99
Counter-Strike,2000,23763.33,5,NAN,0
Age of Empires,2000,9500.00,6,43000,43000
